	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18
cell line	control	control	CERT	CERT	Sec14L1	Sec14L1	control	control	CERT	CERT	Sec14L1	Sec14L1	control	control	CERT	CERT	Sec14L1	Sec14L1
tet	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus
LPC O-18:1	0,00461858	0,004448291	0,005848274	0,008828732	0,006106216	0,006393705	0,003644199	0,004243374	0,005113495	0,007863633	0,007286725	0,005020191	0,004908983	0,005481876	0,004007451	0,00430576	0,002068355	0,003226851
LPC O-20:4	0	0	0,00010674	0	0,000131904	0,000326673	0	0	0,000480036	0	0,00050385	0,000314787	0	0	0,00081489	0,00033839	0,000204296	0
LPC O-20:3	0,000197492	0	0,00022294	0,000410063	0,000623968	0,000578157	0,000324186	0,000229763	0,000372242	0,000448224	0,000992664	0,000840146	0,000141702	0,000376341	0,000448598	0	0,000445723	0,000107426
LPC O-22:5	0	0	0	0	0	0	0	0	0,00013358	0	0	0	0	0,000202328	0,000126868	0	0	0,000107747
LPC O-22:4	0,000242039	0	0,00015235	0	0,000286546	0,000444264	0	0	0,000405122	0	0,000280387	0	0,00011376	0	0,000165138	0,000455713	0,000793244	0
LPC 14:0	0,001920796	0	0,000920419	0,001772921	0,002617398	0,001601565	0,003444179	0,000581271	0,002126828	0,005337304	0,004312219	0,001833483	0,002386767	0,00401937	0,000502507	0,001101252	0,000867934	0,001387749
LPC 16:1	0,005076384	0,003517472	0,007496758	0,009413385	0,009220125	0,009398639	0,006578612	0,00772128	0,008793469	0,009299513	0,009835626	0,00999115	0,010446449	0,009699825	0,012394095	0,013277444	0,01004899	0,013690462
LPC 16:0	0,028859654	0,034881196	0,0389246	0,045028515	0,04103815	0,042841061	0,033276665	0,034974063	0,040441025	0,043445508	0,04389348	0,044914465	0,042229177	0,04215144	0,053548917	0,056650187	0,057682804	0,053297486
LPC 18:2	0,001570644	0,001139225	0,001725936	0,002781961	0,004463062	0,003383102	0,002610735	0,002483123	0,00341325	0,005252245	0,004687515	0,004680974	0,005048767	0,005375102	0,006876341	0,007071183	0,00422868	0,006864676
LPC 18:1	0,015555379	0,018474193	0,020391708	0,026566429	0,022980148	0,025213785	0,01849977	0,022150958	0,02318875	0,026853785	0,024757049	0,027826042	0,023760592	0,024008996	0,03043837	0,033908513	0,033205959	0,032668138
LPC 18:0	0,016742343	0,015646634	0,017543261	0,020225167	0,019439227	0,017123416	0,017964808	0,016850342	0,017452705	0,020964745	0,020605789	0,017989679	0,017740445	0,016320012	0,017728206	0,018888365	0,018928912	0,015256864
LPC 20:4	0,004712113	0,0050797	0,010399579	0,013693602	0,014127203	0,013957515	0,011269837	0,01475746	0,019893294	0,019764396	0,019529902	0,02050105	0,018459221	0,017920323	0,034026003	0,034315939	0,032911719	0,033483235
LPC 22:4	0	0	0	0,000134044	0,000112467	0,000137497	0	0,000159114	0	0	0	0	0,000168703	0,0001181	0,000150511	0	0	0
LPE O-14:1	0,000166723	0	0,000224564	0,000326985	0,000253798	0	0,000135785	0	0	0	0	0,000175788	0,000396616	0,000175756	0,000135087	0,000278683	0,000530203	0,000187675
LPE O-14:0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LPE O-16:2	0	0	0	0	0,000187387	0	0,000143945	0,000193305	0,000110523	0,000156683	0,000138761	0	0,000113932	0	0	0	0	0
LPE O-16:1	0,005208517	0,00611494	0,006595874	0,00739608	0,005906377	0,006551505	0,006317401	0,005183781	0,00571338	0,006041819	0,005808372	0,007129226	0,005055514	0,005116282	0,005839056	0,008163701	0,006337906	0,007898171
LPE O-16:0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LPE O-18:2	0,002015985	0,001283277	0,002236066	0,002324871	0,002161774	0,002479562	0,002476635	0,001583276	0,003039503	0,004368725	0,005390521	0,004650782	0,001208104	0,001141005	0,000970139	0,001623889	0,000741588	0,001087338
LPE O-18:1	0,003861319	0,00396638	0,005270449	0,005974039	0,005217928	0,004896325	0,004198742	0,003088869	0,00459407	0,005388658	0,004261531	0,004791543	0,00295244	0,003914848	0,002697237	0,003885063	0,002580981	0,003872513
LPE O-18:0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LPE O-20:2	0	0	0	0	0	0	0	0	0	0,001030894	0,001750182	0,000822768	0	0	0	0	0	0
LPE O-20:1	0,001789591	0,001668357	0,002384922	0,00315614	0,002805074	0,002429297	0,000855568	0,000972154	0,001299417	0,002975325	0,001553071	0,001287356	0,001327618	0,00176109	0,001065711	0,000891346	0,000521964	0,000806328
LPE 16:1	0,002059225	0,003997051	0,004333044	0,004959101	0,003503116	0,003883803	0,003384287	0,004814074	0,004881602	0,003309625	0,003560806	0,00709842	0,004841213	0,003175103	0,006203164	0,005265356	0,005009716	0,006043669
LPE 16:0	0,006197206	0,007678439	0,010015006	0,013333288	0,011044761	0,010769599	0,009075295	0,009878169	0,010690761	0,012868507	0,011719131	0,012491281	0,011012018	0,010100592	0,015394392	0,017868314	0,015400261	0,016068105
LPE 18:2	0,001144815	0,001333287	0,001932357	0,003025091	0,003357841	0,002777031	0,002331863	0,002601462	0,003460223	0,003755744	0,003718512	0,004150042	0,004004172	0,003826854	0,004991631	0,005097473	0,005738346	0,006453866
LPE 18:1	0,016385851	0,022974956	0,03044756	0,036316062	0,032887044	0,034526085	0,02406004	0,028448887	0,032224971	0,034891861	0,035133193	0,039288776	0,032772999	0,030932366	0,046540974	0,050072661	0,048917239	0,052214574
LPE 18:0	0,009425644	0,010188722	0,011644562	0,014766519	0,012674718	0,013820452	0,01208734	0,012039215	0,012787388	0,015254184	0,015735672	0,017506712	0,011543897	0,011600856	0,014888577	0,020001085	0,018363033	0,020526209
LPE 20:5	0,011921799	0,015468263	0,023904796	0,025510148	0,024523873	0,023240599	0,015449584	0,015953298	0,019666628	0,018158846	0,019065069	0,018488319	0,02474851	0,022091093	0,033650973	0,033584126	0,036686011	0,02911022
LPE 20:4	0,040765993	0,053691304	0,083818045	0,093957095	0,097654576	0,09052076	0,071854674	0,080960154	0,103487957	0,099339573	0,102522196	0,106552906	0,118216719	0,109827771	0,191173083	0,172800738	0,177830404	0,171697876
LPE 20:3	0,005234994	0,002651765	0,004538192	0,005241578	0,005015471	0,005453212	0,003037382	0,002916621	0,007254839	0,004942868	0,007249635	0,005417619	0,007440369	0,006231825	0,006004828	0,009653671	0,014495713	0,007056184
LPE 20:2	0	0,000115493	0,000109975	0,000150837	0,000280647	0,00011622	0	0,000103149	0	0	0,000142721	0	0	0	0,000133687	0	0,000259302	0
LPE 20:1	0,000500593	0,000569905	0,000961536	0,000957997	0,001541737	0,000817436	0,000532507	0,000382745	0,000622283	0,000665167	0,000732756	0,000855289	0,000618055	0,000920913	0,000455077	0,000833436	0,000404164	0,000398756
LPE 20:0	0,00101622	0,000335239	0,001472647	0,001623906	0,001261732	0,000684535	0	0	0,000179698	0,000401099	0	0	0,000489378	0,000540387	0,000239343	0,000401663	0	0,000175479
LPE 22:6	0,017523129	0,022736318	0,028748135	0,032502082	0,028927976	0,02858136	0,018294876	0,021967855	0,022876515	0,023226198	0,021590069	0,023197608	0,030188746	0,028389079	0,038914818	0,037995119	0,03481696	0,034462071
LPE 22:5	0,023122635	0,031483443	0,039589069	0,048318987	0,045230832	0,043350575	0,034226376	0,04160482	0,045981243	0,045540678	0,04373989	0,046039746	0,056780208	0,054168568	0,081047253	0,077288411	0,072428973	0,070023765
LPE 22:4	0,006639829	0,009011468	0,009984886	0,011278272	0,01378831	0,012894169	0,011892831	0,014249209	0,012473621	0,013526564	0,015227624	0,01601887	0,018927682	0,018097856	0,022258586	0,020766659	0,02424434	0,024016696
LPE 22:3	0	0	0	0	0	0	0	0	0,000150492	0	0,000507588	0	0	0	0,000348801	0,000197844	0,001501184	0
LPE 22:1	0	0	0	0	0	0	0,00013653	0	0	0	0	0	0	0	0	0	0	0
"GM3 34:2;2"	0,021163143	0,014311569	0,016942224	0,021046274	0	0	0	0	0	0,010592607	0,011134081	0,015866496	0	0,03026752	0	0	0	0
"GM3 34:1;2"	0,129196686	0,151022832	0,141576551	0,131095841	0,140904599	0,125007706	0,10847389	0,148546092	0,16293634	0,130934392	0,128901345	0,144888301	0,146043071	0,167808729	0,211716854	0,18199873	0,150518783	0,164688192
"GM3 34:0;2"	0,013200233	0,021672165	0,027774499	0,02104031	0,015601015	0,029404401	0,00525243	0,015681516	0,021716961	0,019274481	0,012090505	0,028130077	0,046154722	0,023621853	0	0,026908306	0,004272211	0,001602217
"GM3 36:2;2"	0	0	0	0,018071154	0	0,014262088	0	0	0	0,007683338	0	0,012643571	0	0	0	0	0	0
"GM3 36:1;2"	0,020929676	0,027517369	0,015410037	0,014120413	0,022968178	0,0191674	0,027173783	0,026044633	0,027989341	0,017210623	0,02347818	0,02037868	0	0,026592986	0,046500915	0,037055047	0	0
"GM3 36:0;2"	0	0	0,013683504	0,017582692	0	0,000535311	0,018444467	0,025995484	0,006980815	0,022760593	0,003393974	0,026258182	0	0,006097383	0,020778364	0	0	0,061094634
"GM3 38:1;2"	0	0	0	0	0	0	0	0	0	0,008106834	0	0,015565404	0	0	0	0	0	0
"GM3 38:0;2"	0	0	0	0	0	0	0	0	0	0,006734032	0	0	0	0	0	0	0	0
"GM3 40:2;2"	0	0	0,021370844	0	0	0,022869728	0	0,028309389	0	0,024240644	0,02102272	0,020362383	0	0	0,034844584	0	0	0
"GM3 40:1;2"	0,02928933	0,032786582	0,062761524	0,070813121	0,054405492	0,043652052	0,060699089	0,054458706	0,062454947	0,071357633	0,064471495	0,061273986	0,047344493	0,051712961	0,072779797	0,116918686	0,072361731	0,052216335
"GM3 40:0;2"	0	0,01828858	0,012147657	0,010770459	0,005538854	0,006708035	0,011232733	0,023265589	0,018762688	0,013287819	0,00024561	0,002795768	0,018057677	0,024916557	0,021384817	0	0	0,027694148
"GM3 42:3;2"	0,025845434	0,032316056	0,071450098	0,037864411	0,025643396	0,026079749	0,022670846	0,030985655	0,033791516	0,043081901	0,045723984	0,034041016	0,043895847	0,036863585	0	0,057643275	0	0
"GM3 42:2;2"	0,194987462	0,270614051	0,258224123	0,258392939	0,206885689	0,225085955	0,194488347	0,254289449	0,294597884	0,23371609	0,244150209	0,235004824	0,224658355	0,243909375	0,383187602	0,284171063	0,236862496	0,295041389
"GM3 42:1;2"	0,111833375	0,123241758	0,112464998	0,150063076	0,106319261	0,117844657	0,100030698	0,132898069	0,142192768	0,125831712	0,122819816	0,125766878	0,140035329	0,10515533	0,171130308	0,163835683	0,131174582	0,167677737
"GM3 44:2;2"	0	0	0	0,027381664	0	0	0	0	0	0,004559408	0,015786723	0	0	0	0	0	0	0
"GM3 44:1;2"	0,024132231	0	0	0	0	0	0	0	0	0,013388605	0	0	0	0	0	0	0	0
Chol :	25,63328865	18,36359704	18,56319196	18,89500522	17,83751241	18,33572274	17,85546427	18,07843656	16,89573392	16,93344394	17,26108692	18,09897862	20,37782541	22,61377339	19,38710292	20,67115313	19,57909197	20,11516165
"SM 32:2;2"	0,006264279	0	0,005286417	0	0,000416961	0	0	0,000140444	0,001145348	0,000373658	0	0,000273891	0	0	0,000302257	0	0,000194412	0
"SM 32:1;2"	0,092934448	0,101774692	0,09195646	0,100744222	0,104144614	0,100079102	0,100151643	0,108962204	0,092341133	0,101076637	0,096189044	0,103329501	0,114561924	0,104959796	0,099104235	0,107809172	0,108599422	0,082990351
